From Win10 22H2.
api-ms-win-core-winrt-string-l1-1-1 -> combase.dll
api-ms-win-core-wow64-l1-1-2 -> kernelbase.dll
api-ms-win-core-xstate-l1-1-3 -> ntdll.dll
api-ms-win-core-xstate-l2-1-1 -> kernelbase.dll
api-ms-win-coremessaging-host-l1-1-0 -> 
api-ms-win-coreui-secruntime-l1-1-0 -> 
api-ms-win-crt-conio-l1-1-0 -> ucrtbase.dll
api-ms-win-crt-convert-l1-1-0 -> ucrtbase.dll
api-ms-win-crt-environment-l1-1-0 -> ucrtbase.dll
api-ms-win-crt-filesystem-l1-1-0 -> ucrtbase.dll
api-ms-win-crt-heap-l1-1-0 -> ucrtbase.dll
api-ms-win-crt-locale-l1-1-0 -> ucrtbase.dll
api-ms-win-crt-math-l1-1-0 -> ucrtbase.dll
api-ms-win-crt-multibyte-l1-1-0 -> ucrtbase.dll
api-ms-win-crt-private-l1-1-0 -> ucrtbase.dll
api-ms-win-crt-process-l1-1-0 -> ucrtbase.dll
api-ms-win-crt-runtime-l1-1-0 -> ucrtbase.dll
api-ms-win-crt-stdio-l1-1-0 -> ucrtbase.dll
api-ms-win-crt-string-l1-1-0 -> ucrtbase.dll
api-ms-win-crt-time-l1-1-0 -> ucrtbase.dll
api-ms-win-crt-utility-l1-1-0 -> ucrtbase.dll
api-ms-win-deprecated-apis-advapi-l1-1-0 -> 
api-ms-win-deprecated-apis-legacy-l1-1-0 -> 
api-ms-win-deprecated-apis-legacy-l1-2-0 -> 
api-ms-win-deprecated-apis-obsolete-l1-1-0 -> kernelbase.dll
api-ms-win-devices-config-l1-1-2 -> cfgmgr32.dll
api-ms-win-devices-query-l1-1-1 -> cfgmgr32.dll
api-ms-win-devices-swdevice-l1-1-1 -> cfgmgr32.dll
api-ms-win-downlevel-advapi32-l1-1-1 -> kernelbase.dll
api-ms-win-downlevel-advapi32-l2-1-1 -> sechost.dll
api-ms-win-downlevel-advapi32-l3-1-0 -> ntmarta.dll
api-ms-win-downlevel-advapi32-l4-1-0 -> advapi32.dll
api-ms-win-downlevel-kernel32-l1-1-0 -> kernelbase.dll
api-ms-win-downlevel-kernel32-l2-1-0 -> kernel32.dll
api-ms-win-downlevel-normaliz-l1-1-0 -> kernelbase.dll
api-ms-win-downlevel-ole32-l1-1-1 -> combase.dll
api-ms-win-downlevel-shell32-l1-1-0 -> shcore.dll
api-ms-win-downlevel-shlwapi-l1-1-1 -> kernelbase.dll
api-ms-win-downlevel-shlwapi-l2-1-1 -> shcore.dll
api-ms-win-downlevel-user32-l1-1-1 -> kernelbase.dll
api-ms-win-downlevel-version-l1-1-0 -> kernelbase.dll
api-ms-win-dwmapi-l1-1-0 -> dwmapi.dll
api-ms-win-dx-d3dkmt-l1-1-4 -> gdi32.dll
api-ms-win-eventing-classicprovider-l1-1-0 -> kernelbase.dll
api-ms-win-eventing-consumer-l1-1-1 -> sechost.dll
api-ms-win-eventing-controller-l1-1-0 -> sechost.dll
api-ms-win-eventing-legacy-l1-1-0 -> advapi32.dll
api-ms-win-eventing-obsolete-l1-1-0 -> sechost.dll
api-ms-win-eventing-provider-l1-1-0 -> kernelbase.dll
api-ms-win-eventing-tdh-l1-1-0 -> tdh.dll
api-ms-win-eventing-tdh-l1-1-0 -> mintdh.dll
api-ms-win-eventlog-legacy-l1-1-0 -> advapi32.dll
api-ms-win-eventlog-private-l1-1-0 -> advapi32.dll
api-ms-win-gaming-deviceinformation-l1-1-0 -> kernelbase.dll
api-ms-win-gaming-expandedresources-l1-1-0 -> gamemode.dll
api-ms-win-gaming-tcui-l1-1-4 -> gamingtcui.dll
api-ms-win-gdi-dpiinfo-l1-1-0 -> gdi32.dll
api-ms-win-gdi-internal-uap-l1-1-0 -> gdi32full.dll
api-ms-win-http-time-l1-1-0 -> kernelbase.dll
api-ms-win-input-ie-interactioncontext-l1-1-0 -> 
api-ms-win-legacy-shlwapi-l1-1-0 -> kernelbase.dll
api-ms-win-mm-joystick-l1-1-0 -> winmmbase.dll
api-ms-win-mm-mci-l1-1-0 -> winmm.dll
api-ms-win-mm-misc-l1-1-1 -> winmmbase.dll
api-ms-win-mm-misc-l2-1-0 -> winmm.dll
api-ms-win-mm-mme-l1-1-0 -> winmmbase.dll
api-ms-win-mm-playsound-l1-1-0 -> winmm.dll
api-ms-win-mm-time-l1-1-0 -> kernel32.dll
api-ms-win-net-isolation-l1-1-1 -> firewallapi.dll
api-ms-win-networking-interfacecontexts-l1-1-0 -> ondemandconnroutehelper.dll
api-ms-win-ngc-serialization-l1-1-1 -> ngckeyenum.dll
